Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
1957492419,8 backers,15 backers,5 backers,8 backers,10 backers,2 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970291544,2 backers,2 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629859925,54 backers,6 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549733051,6 backers,95 backers,19 backers,23 backers,0 backers,9 backers,1 backer,6 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582872200,15 backers,972 backers,15 backers,"1,056 backers",651 backers,343 backers,95 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897408392,20 backers,50 backers,319 backers,15 backers,15 backers,50 backers,26 backers,23 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342090679,3 backers,43 backers,50 backers,44 backers,24 backers,7 backers,10 backers,2 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574193495,0 backers,9 backers,5 backers,2 backers,3 backers,2 backers,1 backer,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796915224,8 backers,1 backer,9 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139810158,2 backers,25 backers,43 backers,11 backers,3 backers,6 backers,3 backers,0 backers,5 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070251896,8 backers,19 backers,5 backers,0 backers,28 backers,9 backers,3 backers,1 backer,5 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263878489,8 backers,26 backers,25 backers,7 backers,11 backers,0 backers,3 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216342387,37 backers,246 backers,46 backers,1 backer,248 backers,14 backers,13 backers,26 backers,54 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379381410,0 backers,2 backers,8 backers,2 backers,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116689571,12 backers,37 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
