Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
282689537,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335118342,gbp30,gbp51,gbp0,gbp0,gbp0,gbp0,gbp0,,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp4,gbp100,,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp1,gbp0,gbp0,gbp0,,gbp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305004546,$750,$925,$595,,,,,,,,,$75,$170,$150,$171,"$1,120",$50,$180,,$25,$90,$175,$136,"$1,075",,$75,$160,$500,$50,$500,$250,$75,$15,,$818,$355,"$2,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38535175,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291536904,$31,,$115,$15,$10,,,,$40,$80,$60,$1,,$-115,,$-10,,,$25,,$60,,,,,,,,,,$10,,$-19,,,,,$1,,$-25,$1,$20,,$1,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28246025,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$20,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87097355,$26,$26,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339895747,$30,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83361794,$755,$581,$286,$35,$200,$285,$230,$180,$235,$95,$183,$215,$140,$120,$445,$190,$196,$145,$100,$387,$96,$155,$245,$110,$75,$150,$91,$75,$50,$230,$166,$254,$145,$-5,$255,$16,$15,,,,,,,$145,$105,$285,$95,$81,$240,$210,$450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8519697,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303398934,"$4,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55214099,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66977819,"$2,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64061464,"$1,493",$986,$200,$376,$85,$75,$91,$490,$100,$130,$92,$105,"$1,268",$664,$561,$125,$500,$445,$50,$667,$610,$330,$454,$633,$752,"$1,010",$461,$150,$690,$967,"$1,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324403229,$431,$503,$326,$68,$153,$127,$631,$663,$58,$75,$75,$100,$78,$160,$180,$95,$25,$70,"$2,245",$270,$137,$43,$262,$-24,$25,$38,$145,$866,$508,$581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341846704,$120,$398,$171,$41,$43,$25,$20,,,$10,,,,,$-15,,,$1,,,$30,$5,,,$16,,,,,,,,$56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308576288,gbp187,gbp75,gbp58,gbp96,gbp125,gbp206,gbp83,gbp100,gbp11,gbp894,gbp13,gbp38,gbp644,gbp0,gbp21,gbp52,gbp78,gbp127,gbp156,gbp51,gbp40,gbp49,gbp150,gbp0,gbp239,gbp58,gbp39,gbp53,gbp54,gbp190,gbp14,gbp132,gbp128,"gbp1,423","gbp1,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299237410,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,$0,$0,$1,$0,$0,$1,$0,$0,$0,$0,$200,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298221603,$0,$0,$0,$10,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,$0,$15,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99024940,$246,$320,$255,$300,$340,$10,$0,$260,$50,$115,"$1,565",$100,$365,$10,$8,$120,$510,$816,$96,$6,$20,$85,$1,$375,$465,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325025829,$655,$275,$205,$0,$50,$205,$70,$0,$50,$0,$50,$0,$1,$0,$0,$50,$0,$0,$0,"$2,000",$0,$0,$0,$0,$0,$50,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43778093,$818,$79,$264,$173,$70,$33,$50,$-19,,$95,$112,$24,$25,,,$-20,$-33,,$-25,$-1,$5,$-20,$-500,,,$-117,$-7,$50,,$-45,$15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288915503,eur0,eur50,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,eur0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328138802,$980,"$1,013",$306,$218,$95,$0,$168,$476,$234,$297,$40,$251,$242,$180,$439,$131,$544,$61,$50,$106,$30,$331,$156,$0,$20,$281,$497,$95,$75,$883,$61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48300085,gbp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
